a.word,a.wordcount,d.word,d.wordcount
NULL,NULL,000,1
NULL,NULL,1,16
NULL,NULL,10,8
NULL,NULL,11,8
NULL,NULL,12,8
NULL,NULL,12th,1
NULL,NULL,13,4
NULL,NULL,15,3
NULL,NULL,16,4
NULL,NULL,17,11
NULL,NULL,1777,1
NULL,NULL,17s,1
NULL,NULL,17th,1
NULL,NULL,18,9
NULL,NULL,1854,1
NULL,NULL,1873,1
NULL,NULL,19,6
NULL,NULL,197,1
NULL,NULL,1st,1
NULL,NULL,2,13
NULL,NULL,20,5
NULL,NULL,21,1
NULL,NULL,22,3
NULL,NULL,23,2
NULL,NULL,24,10
NULL,NULL,24th,1
NULL,NULL,25,13
NULL,NULL,26,5
NULL,NULL,27,4
NULL,NULL,28,6
NULL,NULL,29,11
NULL,NULL,3,11
NULL,NULL,30,22
NULL,NULL,31,4
NULL,NULL,33,1
NULL,NULL,34,1
NULL,NULL,347,1
NULL,NULL,35,2
NULL,NULL,4,14
NULL,NULL,40,1
NULL,NULL,45,1
NULL,NULL,46,1
NULL,NULL,47th,1
NULL,NULL,5,11
NULL,NULL,50,1
NULL,NULL,59,1
NULL,NULL,6,11
NULL,NULL,7,7
NULL,NULL,70,1
NULL,NULL,8,6
NULL,NULL,9,5
NULL,NULL,9d,1
NULL,NULL,aback,1
NULL,NULL,abaft,2
NULL,NULL,abandon,1
NULL,NULL,abandoned,2
NULL,NULL,abasement,1
abashed,1,NULL,NULL
NULL,NULL,abated,1
NULL,NULL,abating,2
NULL,NULL,abbey,9
NULL,NULL,abed,1
NULL,NULL,abhorred,2
NULL,NULL,abide,1
NULL,NULL,ablaze,1
NULL,NULL,abnormal,1
NULL,NULL,abnormally,2
NULL,NULL,aboard,8
NULL,NULL,aboon,2
NULL,NULL,aboord,1
NULL,NULL,aboot,3
NULL,NULL,abraham,4
NULL,NULL,abreast,3
NULL,NULL,abroad,6
NULL,NULL,absolute,8
NULL,NULL,absolved,1
NULL,NULL,absorb,1
absorbedly,1,NULL,NULL
NULL,NULL,absorbing,2
NULL,NULL,abstract,1
absurd,2,NULL,NULL
abundant,2,NULL,NULL
NULL,NULL,abut,1
NULL,NULL,abyss,1
NULL,NULL,acant,1
accent,2,NULL,NULL
NULL,NULL,accentuated,1
NULL,NULL,accept,16
acceptable,1,NULL,NULL
NULL,NULL,acceptance,1
NULL,NULL,accepted,1
NULL,NULL,accepts,2
NULL,NULL,access,1
NULL,NULL,accidental,1
accompanied,2,NULL,NULL
accomplish,1,NULL,NULL
accomplishing,1,NULL,NULL
NULL,NULL,accord,6
NULL,NULL,accordance,3
NULL,NULL,according,1
accountable,1,NULL,NULL
NULL,NULL,accounts,1
NULL,NULL,accumulation,2
NULL,NULL,accuracy,3
NULL,NULL,accurate,8
NULL,NULL,accurately,3
NULL,NULL,accursed,1
NULL,NULL,acherontia,1
NULL,NULL,achieve,5
NULL,NULL,achieved,2
acid,1,NULL,NULL
acidly,1,NULL,NULL
NULL,NULL,acknowledge,2
acquaintance,7,NULL,NULL
NULL,NULL,acquaintanceship,1
NULL,NULL,acquainted,1
NULL,NULL,acqueisced,1
NULL,NULL,acquiesce,1
NULL,NULL,acquiesced,3
NULL,NULL,acquiescence,4
NULL,NULL,acquire,1
NULL,NULL,acquired,1
NULL,NULL,acquiring,1
NULL,NULL,acres,1
NULL,NULL,acrewk,1
NULL,NULL,acrid,3
NULL,NULL,acted,1
NULL,NULL,action,22
NULL,NULL,actions,3
NULL,NULL,active,7
NULL,NULL,acts,2
NULL,NULL,acumen,1
NULL,NULL,acute,1
NULL,NULL,acutely,1
NULL,NULL,ad,7
NULL,NULL,adamantine,1
NULL,NULL,adapted,1
NULL,NULL,addendum,1
NULL,NULL,addition,1
NULL,NULL,additional,2
additions,1,NULL,NULL
NULL,NULL,addle,1
NULL,NULL,addresses,2
NULL,NULL,adduce,1
NULL,NULL,adduced,1
NULL,NULL,adelphi,1
NULL,NULL,adequately,1
NULL,NULL,adhered,1
NULL,NULL,adjusted,2
NULL,NULL,admirable,1
NULL,NULL,admiralty,1
admiration,4,NULL,NULL
NULL,NULL,admire,1
admired,4,NULL,NULL
admiring,1,NULL,NULL
admiringly,1,NULL,NULL
NULL,NULL,admission,1
admonished,1,NULL,NULL
NULL,NULL,adopt,1
adoration,1,NULL,NULL
adore,1,NULL,NULL
adored,2,NULL,NULL
adorers,1,NULL,NULL
adoringly,2,NULL,NULL
adorn,1,NULL,NULL
adorned,1,NULL,NULL
NULL,NULL,adornments,1
NULL,NULL,advancement,1
NULL,NULL,advancing,1
NULL,NULL,advantage,3
NULL,NULL,adventurous,1
adversity,2,NULL,NULL
NULL,NULL,advertise,1
NULL,NULL,advisable,1
NULL,NULL,advise,2
NULL,NULL,aerated,1
NULL,NULL,aerial,2
