a.word,princess_word_count,dracula_word_count,total
the,2816,7862,10678
and,2665,5887,8552
to,1795,4451,6246
i,1102,4830,5932
of,1170,3601,4771
a,1641,2947,4588
in,1047,2492,3539
it,1155,2158,3313
that,747,2463,3210
he,630,2570,3200
was,1284,1880,3164
she,2300,811,3111
her,1716,1060,2776
you,777,1403,2180
as,571,1577,2148
not,530,1401,1931
is,413,1493,1906
for,351,1523,1874
had,827,1032,1859
with,495,1277,1772
his,264,1460,1724
me,193,1451,1644
we,98,1544,1642
be,452,1107,1559
at,437,1082,1519
but,363,1067,1430
on,347,1062,1409
so,302,1100,1402
my,136,1257,1393
all,227,1146,1373
have,279,1051,1330
when,391,770,1161
him,190,950,1140
said,532,570,1102
if,461,634,1095
s,397,693,1090
there,265,766,1031
were,315,548,863
which,162,658,820
this,194,622,816
are,213,579,792
from,168,618,786
one,274,491,765
they,285,455,740
them,241,471,712
could,210,489,699
would,254,432,686
what,207,466,673
out,243,425,668
by,153,512,665
then,120,537,657
do,182,475,657
been,262,389,651
will,185,446,631
up,188,440,628
no,136,483,619
or,143,461,604
t,313,250,563
an,194,351,545
can,134,404,538
know,142,396,538
must,83,439,522
some,82,437,519
like,221,291,512
see,119,392,511
little,345,166,511
us,42,464,506
time,100,385,485
now,82,403,485
more,110,372,482
who,196,283,479
did,189,280,469
into,182,284,466
am,121,338,459
has,114,344,458
shall,36,422,458
may,40,413,453
come,111,336,447
miss,387,60,447
very,171,273,444
your,134,302,436
over,83,334,417
our,8,406,414
about,162,231,393
went,92,298,390
came,77,306,383
go,98,281,379
only,96,283,379
looked,193,185,378
room,140,231,371
down,113,255,368
things,191,174,365
any,82,275,357
before,79,274,353
made,158,193,351
back,85,261,346
here,62,271,333
seemed,89,242,331
again,84,245,329
even,85,243,328
van,2,321,323
such,96,226,322
than,104,217,321
face,114,205,319
well,70,247,317
much,94,221,315
eyes,129,186,315
look,146,167,313
saw,87,217,304
think,84,219,303
how,80,220,300
their,78,218,296
too,80,214,294
good,66,225,291
just,118,169,287
door,86,201,287
man,33,253,286
other,110,173,283
way,60,222,282
after,72,207,279
night,49,225,274
through,60,213,273
away,85,187,272
hand,63,209,272
though,50,219,269
tell,71,195,266
poor,68,192,260
should,61,198,259
where,44,214,258
quite,140,115,255
took,32,222,254
dear,27,218,245
make,81,163,244
old,55,188,243
thought,89,153,242
never,115,127,242
oh,100,142,242
something,100,142,242
great,59,182,241
once,56,182,238
child,158,76,234
might,77,156,233
own,45,186,231
friend,46,185,231
found,73,153,226
day,60,162,222
knew,92,127,219
say,68,149,217
sleep,21,187,208
told,65,141,206
long,58,147,205
get,32,171,203
thing,104,97,201
count,2,198,200
take,50,149,199
mr,93,104,197
got,38,155,193
last,52,140,192
let,43,148,191
don,102,86,188
ever,57,128,185
god,8,177,185
asked,43,141,184
off,29,152,181
always,118,63,181
first,46,135,181
put,75,105,180
head,74,105,179
heart,40,139,179
place,42,136,178
without,43,135,178
two,44,133,177
house,43,133,176
yet,20,155,175
herself,143,31,174
life,27,147,174
done,47,127,174
its,38,134,172
felt,85,87,172
upon,83,87,170
work,24,146,170
began,53,115,168
still,51,117,168
heard,75,91,166
nothing,48,115,163
many,59,103,162
want,48,113,161
moment,55,106,161
men,12,148,160
window,43,116,159
find,44,114,158
anything,58,98,156
sat,85,69,154
round,50,102,152
myself,16,134,150
stood,70,79,149
left,50,99,149
because,93,55,148
mind,41,106,147
looking,54,93,147
almost,78,69,147
answered,86,58,144
these,30,113,143
being,58,84,142
himself,21,121,142
hands,39,103,142
bed,53,89,142
fear,5,135,140
each,53,86,139
few,54,84,138
new,60,77,137
till,1,134,135
hear,34,100,134
help,35,98,133
open,32,100,132
turned,48,84,132
morning,30,101,131
people,85,45,130
another,38,92,130
why,39,90,129
coming,14,115,129
same,13,114,127
white,21,105,126
perhaps,75,51,126
keep,31,95,126
seen,32,92,124
strange,33,89,122
going,54,68,122
feel,44,77,121
voice,64,56,120
spoke,42,78,120
right,21,98,119
give,37,79,116
blood,4,112,116
however,14,102,116
dead,15,100,115
red,40,74,114
enough,55,59,114
rather,88,25,113
home,31,82,113
believe,38,74,112
better,35,77,112
every,29,83,112
opened,31,80,111
young,56,54,110
both,23,86,109
full,19,88,107
far,11,96,107
rest,10,97,107
side,39,67,106
kind,46,60,106
light,25,80,105
since,18,86,104
held,31,73,104
gave,39,65,104
does,31,72,103
those,20,83,103
girl,66,36,102
under,39,63,102
dark,25,77,102
woman,39,61,100
sort,23,77,100
most,25,75,100
speak,34,66,100
read,19,81,100
tonight,12,87,99
mrs,9,90,99
death,6,93,99
yes,62,36,98
gone,25,73,98
suppose,44,53,97
cannot,11,86,97
table,64,32,96
madam,4,92,96
alone,17,79,96
seem,29,66,95
love,15,80,95
cried,61,33,94
suddenly,43,51,94
attic,92,1,93
together,21,72,93
until,47,45,92
next,53,39,92
lay,20,71,91
end,17,74,91
whole,18,73,91
world,30,61,91
others,10,80,90
m,57,33,90
used,46,44,90
close,20,69,89
children,66,23,89
true,29,59,88
near,37,51,88
john,12,76,88
hard,39,49,88
tried,25,62,87
big,42,45,87
half,20,67,87
days,28,58,86
fire,47,39,86
against,19,67,86
try,24,62,86
while,34,52,86
sound,43,42,85
small,44,40,84
gentleman,71,13,84
sure,38,46,84
indeed,32,52,84
everything,43,41,84
ask,15,68,83
seems,10,72,82
later,6,75,81
box,20,61,81
set,16,65,81
lost,38,43,81
between,10,71,81
understand,25,55,80
matter,24,55,79
word,15,64,79
soon,11,68,79
care,27,52,79
wish,28,50,78
remember,38,40,78
least,37,40,77
cold,32,45,77
three,16,61,77
fell,19,58,77
hope,11,66,77
london,10,67,77
ready,6,71,77
case,6,71,77
words,26,50,76
already,13,63,76
called,31,45,76
times,20,56,76
really,43,32,75
need,7,68,75
taken,26,49,75
call,18,57,75
sent,38,37,75
best,23,51,74
sitting,41,33,74
watch,10,64,74
father,48,26,74
letter,8,65,73
black,38,35,73
sometimes,53,20,73
friends,31,41,72
ran,22,50,72
soul,7,65,72
feet,26,46,72
leave,16,56,72
write,9,62,71
beautiful,40,31,71
passed,15,56,71
heavy,19,52,71
part,10,60,70
talk,34,36,70
saying,21,49,70
kept,13,57,70
evidently,20,50,70
body,16,54,70
today,11,58,69
late,9,59,68
air,14,54,68
trouble,15,53,68
happened,40,28,68
indian,65,3,68
brain,12,56,68
given,26,41,67
sweet,1,66,67
mother,16,51,67
wanted,23,43,66
captain,43,23,66
hour,11,55,66
behind,14,52,66
large,53,13,66
course,25,41,66
lips,5,61,66
o,8,58,66
story,49,16,65
fact,40,25,65
strong,4,61,65
able,18,47,65
stopped,23,42,65
happy,16,48,64
thinking,40,24,64
also,22,42,64
silence,13,50,63
quick,11,52,63
along,6,57,63
low,26,37,63
water,4,59,63
ll,37,25,62
ship,1,61,62
minutes,23,39,62
fellow,10,52,62
grew,12,49,61
present,4,57,61
stay,19,42,61
making,31,30,61
real,40,20,60
answer,16,44,60
mean,16,44,60
books,42,18,60
rose,21,39,60
arms,27,32,59
became,19,40,59
asleep,11,48,59
else,30,29,59
afraid,18,41,59
says,16,43,59
smile,28,31,59
clock,3,56,59
brought,21,37,58
sight,20,38,58
horses,1,56,57
wall,27,30,57
seat,25,32,57
around,7,49,56
drew,18,38,56
thin,23,33,56
sun,3,53,56
wait,11,45,56
glad,20,35,55
comfort,19,36,55
nice,41,14,55
laugh,27,28,55
simply,8,46,54
boxes,4,50,54
doing,21,33,54
either,16,38,54
forward,24,30,54
instant,8,46,54
laid,13,41,54
manner,21,33,54
pale,14,40,54
years,25,29,54
sea,5,49,54
across,25,28,53
quickly,17,36,53
closed,11,42,53
thank,23,30,53
earth,4,49,53
castle,2,51,53
use,11,42,53
comes,14,38,52
floor,29,23,52
broken,15,37,52
lady,15,37,52
learn,18,34,52
change,8,44,52
certain,14,38,52
quiet,15,37,52
wind,7,44,51
didn,26,25,51
hungry,47,4,51
power,5,46,51
strength,5,46,51
tomorrow,6,45,51
wonderful,24,27,51
turn,18,33,51
